model,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy,Pred_Positive_Rate,threshold
Rich_Logistic_recentWeighted,0.672112167342507,0.1602137949064754,0.19289340101522842,0.19387755102040816,0.1919191919191919,0.8439646712463199,0.0971540726202159,0.6549999999999999
Core_Logistic_balanced,0.6705222805734672,0.1619353529878015,0.18652849740932642,0.1836734693877551,0.18947368421052632,0.845927379784102,0.09322865554465162,0.6549999999999999
Rich_Logistic_balanced,0.6700846462363447,0.16017440041761732,0.18085106382978725,0.17346938775510204,0.18888888888888888,0.8488714425907753,0.08832188420019627,0.6649999999999999
Core_Threshold_Logistic_balanced,0.6662013339537769,0.16156292501417907,0.1232876712328767,0.09183673469387756,0.1875,0.8743866535819431,0.047105004906771344,0.7549999999999999
Stacked_Meta_Logistic,0.646275122426821,0.15453002247899378,0.2087912087912088,0.19387755102040816,0.2261904761904762,0.858684985279686,0.08243375858684986,0.13
Rich_XGB_recentWeighted,0.5778933723326464,0.13988956928491447,0.18666666666666668,0.21428571428571427,0.16535433070866143,0.8204121687929342,0.12463199214916584,0.705
