model,train_years,n_train,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy,Pred_Positive_Rate,threshold
Rich_Logistic_balanced_train_2013_2016_2020,2013+2016+2020,7632,0.6700846462363447,0.16017440041761732,0.18085106382978725,0.17346938775510204,0.18888888888888888,0.8488714425907753,0.08832188420019627,0.6649999999999999
Rich_Logistic_balanced_train_2016_2020,2016+2020,4823,0.667879855525272,0.15998141458725462,0.22033898305084745,0.2653061224489796,0.18840579710144928,0.8194308145240432,0.13542688910696762,0.69
Rich_Logistic_balanced_train_2020_only,2020,3040,0.6574098694852534,0.15963051509785683,0.17777777777777778,0.16326530612244897,0.1951219512195122,0.8547595682041217,0.08047105004906771,0.715
