model,train_years,n_train,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy,Pred_Positive_Rate,threshold
Rich_Logistic_balanced_train_2013_2016_2020,2013+2016+2020,7651,0.7049438846563447,0.17678892710856034,0.2366412213740458,0.3974358974358974,0.16847826086956522,0.8033431661750245,0.18092428711897737,0.73
Rich_Logistic_balanced_train_2016_2020,2016+2020,4838,0.7018991835285765,0.17885652067670493,0.24509803921568626,0.32051282051282054,0.1984126984126984,0.8485742379547689,0.12389380530973451,0.695
Rich_Logistic_balanced_train_2020_only,2020,3047,0.693939269817864,0.17174252285762068,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.8780727630285152,0.07669616519174041,0.71
