model,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy,Pred_Positive_Rate,threshold
Core_Threshold_Logistic_balanced,0.7059269271729335,0.17922450040905138,0.21686746987951808,0.34615384615384615,0.15789473684210525,0.8082595870206489,0.168141592920354,0.735
Rich_Logistic_recentWeighted,0.7050258048660605,0.17739677807391316,0.224,0.358974358974359,0.16279069767441862,0.8092428711897739,0.16912487708947885,0.73
Core_Logistic_balanced,0.7049575380246307,0.17686015206434183,0.23754789272030652,0.3974358974358974,0.16939890710382513,0.8043264503441495,0.17994100294985252,0.73
Rich_Logistic_balanced,0.7049438846563447,0.17678892710856034,0.2366412213740458,0.3974358974358974,0.16847826086956522,0.8033431661750245,0.18092428711897737,0.73
Stacked_Meta_Logistic,0.7003153928074055,0.1820082695794244,0.23859649122807017,0.4358974358974359,0.1642512077294686,0.7866273352999017,0.20353982300884957,0.08499999999999999
Rich_XGB_recentWeighted,0.6309562819147484,0.12342205090093654,0.20610687022900764,0.34615384615384615,0.14673913043478262,0.7954768928220256,0.18092428711897737,0.6849999999999999
