model,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,F1_mean,Recall_mean,Precision_mean,Accuracy_mean
Core_Logistic_balanced,0.5487128577297,0.0,0.24259770147866214,0.008849557522123894,0.0045871559633027525,0.125,0.7808219178082192
Rich_Logistic_balanced,0.5507981879592861,0.0,0.24358313343508692,0.008849557522123894,0.0045871559633027525,0.125,0.7808219178082192
Rich_Logistic_recentWeighted,0.5515398922817107,0.0,0.24578471115234818,0.0,0.0,0.0,0.7837573385518591
