model,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy,Pred_Positive_Rate,threshold
Stacked_Meta_Logistic,0.5532914555662056,0.24392415320014352,0.01680672268907563,0.009174311926605505,0.1,0.7710371819960861,0.019569471624266144,0.15999999999999998
Rich_Logistic_recentWeighted,0.5515398922817107,0.24578471115234818,0.0,0.0,0.0,0.7837573385518591,0.0029354207436399216,0.39499999999999996
Rich_Logistic_balanced,0.5507981879592861,0.24358313343508692,0.008849557522123894,0.0045871559633027525,0.125,0.7808219178082192,0.007827788649706457,0.37499999999999994
Core_Logistic_balanced,0.5487128577297,0.2425977014786621,0.008849557522123894,0.0045871559633027525,0.125,0.7808219178082192,0.007827788649706457,0.37499999999999994
Core_Threshold_Logistic_balanced,0.5459685517367292,0.23873664374172132,0.008849557522123894,0.0045871559633027525,0.125,0.7808219178082192,0.007827788649706457,0.38999999999999996
Rich_XGB_recentWeighted,0.4895048838376922,0.20842744026972587,0.35559410234171723,0.9403669724770642,0.2192513368983957,0.27299412915851273,0.9148727984344422,0.26499999999999996
