model,train_years,n_train,ROC_AUC,PR_AUC,F1,Recall,Precision,Accuracy,Pred_Positive_Rate,threshold
Rich_Logistic_balanced_train_2020_only,2020,3034,0.5615015518736592,0.25578769343222385,0.31784107946026985,0.48623853211009177,0.23608017817371937,0.5547945205479452,0.43933463796477495,0.49499999999999994
Rich_Logistic_balanced_train_2016_2020,2016+2020,4840,0.5533085718198001,0.24770891072262557,0.32967032967032966,0.5504587155963303,0.23529411764705882,0.5225048923679061,0.49902152641878667,0.49499999999999994
Rich_Logistic_balanced_train_2013_2016_2020,2013+2016+2020,7697,0.5507981879592861,0.24358313343508692,0.008849557522123894,0.0045871559633027525,0.125,0.7808219178082192,0.007827788649706457,0.37499999999999994
