feature,coef_logit,odds_ratio
num__innov_new_product,0.0017471867185486825,1.0017487139385801
num__innov_count,0.0017471867185486825,1.0017487139385801
num__innov_any,0.0017471867185486825,1.0017487139385801
num__innov_rd_investment,0.0,1.0
num__innov_new_process,0.0,1.0
