survey_year,target_k30,target_formal_credit,target_applied_credit
2013,0.3115155757787889,0.1114275542897828,0.0710984713828652
2016,0.2569213732004429,0.1256309590577678,0.0938023450586264
2020,0.1657877389584706,0.0648026315789473,0.052182474565146
2025,0.2133072407045009,0.0961727183513248,0.0766961651917404
