variable,threshold,cv_auc_when_added
j2,1.0,0.6253494016669797
log_sales,15.096444681204078,0.6239543178113612
log_size,4.18965482711792,0.6219003588076436
k3a,70.0,0.6376892329356186
firm_age,18.0,0.6235845356219771
