variable,threshold,cv_auc_when_added
j2,1.0,0.6453675393936236
log_sales,13.660191930412601,0.6429700896173226
log_size,4.255587559545337,0.6443797890744055
k3a,70.0,0.661451029332207
firm_age,18.0,0.6431527776803846
