model,AUC,Accuracy,F1
XGBoost,0.6919996011132565,0.7643348623853211,0.03747072599531616
Threshold Logistic,0.6757603778545334,0.7603211009174312,0.018779342723004695
Logistic,0.6594295919569928,0.757454128440367,0.004705882352941176
