model,AUC,Accuracy,F1
XGBoost,0.55221598429869,0.7759295499021527,0.0
Threshold Logistic,0.541364279519832,0.7681017612524462,0.055776892430278883
Logistic,0.5404514126614632,0.7827788649706457,0.0
