model,AUC,Accuracy,F1
XGBoost,0.7097240253885824,0.7996589940323956,0.07114624505928854
Threshold Logistic,0.6583450539146742,0.7962489343563512,0.040160642570281124
Logistic,0.6268707850986331,0.8013640238704177,0.0642570281124498
