variable,threshold,cv_auc_when_added
j2,0.0,0.6433740555392012
log_sales,16.860033043306743,0.6437547159596534
log_size,4.182021098506499,0.6439551971144248
k3a,70.0,0.6665486619363264
k3bc,0.0,0.643352907738065
firm_age,30.0,0.6431295869580664
