Target,model,ROC_AUC,PR_AUC,F1,Recall,Precision,train_years,n_train
Severe financing obstacle,2020 only,0.5615015518736592,0.2557876934322238,0.3178410794602698,0.4862385321100917,0.2360801781737193,2020,3034
Severe financing obstacle,2016+2020,0.5533085718198001,0.2477089107226255,0.3296703296703296,0.5504587155963303,0.2352941176470588,2016+2020,4840
Severe financing obstacle,2013+2016+2020,0.5507981879592861,0.2435831334350869,0.0088495575221238,0.0045871559633027,0.125,2013+2016+2020,7697
Formal credit access,2013+2016+2020,0.6700846462363447,0.1601744004176173,0.1808510638297872,0.173469387755102,0.1888888888888888,2013+2016+2020,7632
Formal credit access,2016+2020,0.667879855525272,0.1599814145872546,0.2203389830508474,0.2653061224489796,0.1884057971014492,2016+2020,4823
Formal credit access,2020 only,0.6574098694852534,0.1596305150978568,0.1777777777777777,0.1632653061224489,0.1951219512195122,2020,3040
Credit application,2013+2016+2020,0.7049438846563447,0.1767889271085603,0.2366412213740458,0.3974358974358974,0.1684782608695652,2013+2016+2020,7651
Credit application,2016+2020,0.7018991835285765,0.1788565206767049,0.2450980392156862,0.3205128205128205,0.1984126984126984,2016+2020,4838
Credit application,2020 only,0.693939269817864,0.1717425228576206,0.2051282051282051,0.2051282051282051,0.2051282051282051,2020,3047
